id;time
0;52.119
1;52.994
2;52.384
3;53.236
4;52.616
5;53.481
6;52.994
7;53.736
8;53.331
9;53.435
10;54.769
11;58.343
12;54.732
13;55.139
14;55.139
15;55.048
16;55.568
17;56.146
18;55.986
19;55.425
20;56.789
21;57.652
22;54.485
23;56.094
24;56.323
25;56.332
26;66.385
27;67.657
28;56.985
29;66.674
30;57.03
31;63.15
32;63.248
33;63.357
34;67.145
35;67.251
36;63.634
37;63.74
38;63.853
39;64.257
40;64.074
41;64.453
42;64.255
43;71.163
44;71.26
45;71.359
46;71.497
47;71.583
48;71.65
49;71.808
50;71.894
51;59.381
52;72.295
53;70.968
54;72.505
55;72.572
56;72.716
57;72.772
58;72.872
59;69.562
60;75.384
61;69.646
62;75.585
63;70.167
64;77.224
65;76.827
66;82.294
67;71.709
68;77.635
69;71.055
70;78.186
71;78.252
72;78.403
73;78.872
74;78.595
75;80.882
76;80.758
77;79.849
78;79.585
79;79.612
80;80.088
81;79.321
82;80.174
83;79.329
84;80.078
85;84.578
86;81.141
87;82.733
88;83.05
89;83.175
90;85.658
91;85.771
92;83.96
93;86.1
94;84.469
95;86.402
96;89.415
97;87.132
98;89.316
99;85.789
100;86.484
101;87.03
102;89.197
103;91.386
104;88.39
105;87.279
106;91.484
107;91.567
108;87.632
109;92.764
110;87.332
111;91.934
112;91.761
113;82.282
114;92.951
115;81.657
116;93.226
117;93.377
118;88.803
119;89.533
120;91.03
121;92.137
122;92.1
123;92.417
124;94.778
125;94.846
126;92.811
127;93.814
128;94.655
129;97.172
130;97.756
131;97.264
132;96.49
133;94.179
134;101.448
135;102.899
136;104.156
137;103.525
138;99.604
139;101.367
140;101.451
141;101.576
142;100.017
143;100.748
144;101.878
145;100.785
146;101.612
147;101.192
148;101.711
149;106.063
150;105.056
151;105.193
152;101.787
153;104.009
154;104.126
155;104.183
156;103.817
157;102.713
158;103.313
159;107.933
160;106.856
161;110.19
162;106.255
163;107.141
164;107.175
165;105.574
166;107.039
167;107.229
168;106.415
169;107.937
170;108.327
171;111.282
172;109.533
173;111.658
174;109.6
175;114.104
176;114.803
177;111.39
178;109.909
179;114.171
180;111.243
181;112.231
182;115.472
183;116.332
184;114.228
185;114.133
186;117.76
187;116.466
188;120.026
189;116.889
190;120.15
191;116.73
192;116.833
193;116.057
194;115.992
195;117.081
196;109.04
197;121.101
198;111.941
199;119.894
200;118.601
201;120.192
202;122.433
203;119.074
204;124.83
205;121.6
206;124.052
207;121.972
208;120.947
209;122.043
210;113.95
211;124.818
212;127.297
213;124.117
214;127.577
215;123.076
216;125.778
217;123.221
218;126.0
219;130.823
220;124.634
221;120.669
222;128.59
223;126.669
224;127.724
225;127.371
226;127.91
227;133.707
228;131.385
229;131.747
230;125.174
231;131.501
232;130.776
233;132.217
234;132.207
235;132.442
236;132.537
237;135.224
238;135.348
239;135.433
240;135.806
241;134.109
242;134.422
243;136.126
244;137.957
245;140.307
246;137.197
247;137.416
248;134.662
249;139.42
250;138.801
251;141.997
252;139.762
253;142.47
254;142.689
255;140.454
256;140.225
257;142.86
258;140.322
259;140.793
260;141.468
261;137.254
262;143.138
263;143.155
264;143.074
265;146.714
266;143.557
267;143.568
268;146.979
269;143.806
270;142.826
271;144.069
272;145.139
273;145.62
274;145.938
275;145.831
276;149.416
277;145.178
278;149.282
279;150.793
280;151.772
281;151.147
282;151.873
283;149.473
284;150.244
285;152.375
286;148.141
287;149.884
288;154.153
289;146.222
290;146.862
291;147.17
292;154.842
293;155.769
294;146.733
295;154.547
296;149.596
297;155.999
298;157.425
299;159.868
300;161.081
301;148.326
302;156.508
303;153.416
304;156.456
305;162.116
306;160.992
307;149.153
308;161.894
309;158.997
310;154.63
311;156.217
312;160.212
313;157.212
314;164.769
315;157.935
316;164.559
317;162.36
318;164.528
319;165.756
320;165.518
321;169.707
322;160.145
323;169.036
324;169.157
325;169.487
326;163.304
327;157.775
328;167.578
329;168.004
330;171.454
331;168.3
332;168.7
333;168.83
334;172.559
335;173.028
336;169.956
337;172.339
338;170.079
339;170.368
340;170.463
341;166.412
342;154.373
343;172.416
344;171.226
345;167.338
346;174.557
347;175.198
348;175.581
349;175.763
350;168.031
351;177.158
352;176.768
353;163.69
354;177.854
355;177.354
356;177.089
357;172.626
358;171.821
359;176.385
360;180.816
361;182.048
362;181.745
363;181.705
364;182.823
365;184.562
366;186.452
367;182.931
368;177.784
369;182.831
370;180.344
371;178.861
372;185.828
373;180.468
374;186.394
375;183.188
376;191.082
377;187.543
378;184.412
379;187.985
380;190.567
381;191.669
382;190.869
383;188.325
384;190.45
385;189.577
386;193.619
387;185.71
388;184.651
389;193.518
390;194.146
391;190.239
392;184.837
393;191.787
394;191.957
395;191.921
396;195.452
397;192.658
398;194.26
399;193.049
400;198.574
401;196.491
402;196.12
403;197.801
404;196.333
405;196.364
406;196.623
407;200.572
408;197.168
409;199.421
410;198.675
411;198.789
412;198.892
413;199.709
414;197.771
415;200.22
416;200.449
417;199.323
418;204.14
419;191.7
420;203.69
421;201.986
422;204.033
423;205.927
424;207.003
425;194.124
426;203.803
427;197.22
428;206.153
429;208.082
430;206.509
431;208.096
432;207.391
433;208.008
434;211.417
435;210.066
436;207.857
437;211.432
438;207.846
439;208.477
440;212.419
441;213.081
442;213.121
443;213.854
444;208.526
445;207.667
446;213.559
447;213.093
448;213.463
449;214.085
450;214.019
451;214.301
452;216.282
453;216.793
454;218.722
455;220.161
456;218.973
457;219.229
458;219.678
459;220.223
460;217.862
461;214.876
462;220.023
463;209.534
464;219.858
465;220.023
466;218.224
467;223.489
468;223.596
469;224.331
470;221.03
471;224.083
472;226.248
473;217.892
474;226.713
475;225.653
476;228.571
477;228.663
478;227.733
479;225.286
480;219.902
481;227.654
482;227.61
483;229.477
484;229.968
485;230.806
486;232.928
487;229.738
488;229.478
489;231.917
490;232.217
491;227.512
492;233.285
493;232.207
494;234.443
495;234.114
496;235.019
497;234.424
498;228.577
499;235.006
500;229.608
501;234.983
502;236.331
503;236.014
504;236.274
505;236.48
506;225.567
507;235.023
508;236.705
509;237.995
510;238.631
511;235.212
512;240.546
513;240.681
514;239.142
515;238.951
516;239.529
517;241.949
518;242.517
519;243.208
520;244.017
521;244.191
522;238.039
523;245.299
524;240.46
525;246.146
526;246.162
527;246.125
528;241.052
529;244.826
530;246.479
531;246.898
532;247.829
533;249.187
534;248.245
535;246.678
536;248.925
537;248.856
538;249.398
539;248.378
540;248.64
541;250.801
542;250.82
543;246.223
544;246.35
545;251.504
546;251.418
547;253.217
548;253.268
549;254.172
550;252.062
551;252.822
552;253.788
553;253.522
554;242.882
555;255.859
556;256.394
557;251.46
558;256.764
559;244.16
560;258.226
561;258.137
562;253.215
563;259.129
564;261.059
565;261.198
566;259.041
567;261.298
568;256.166
569;249.305
570;263.702
571;261.96
572;265.56
573;263.714
574;259.406
575;251.502
576;264.444
577;265.24
578;265.411
579;260.302
580;265.475
581;266.388
582;268.121
583;268.107
584;254.764
585;266.437
586;269.688
587;267.864
588;271.762
589;270.958
590;271.453
591;268.884
592;258.435
593;271.71
594;269.898
595;270.158
596;273.423
597;273.959
598;262.078
599;262.071
600;275.889
601;276.745
602;278.343
603;274.739
604;263.566
605;264.014
606;278.702
607;276.811
608;279.344
609;264.417
610;277.565
611;279.862
612;265.074
613;276.543
614;280.138
615;278.989
616;280.348
617;279.222
618;280.545
619;278.718
620;280.145
621;280.988
622;283.379
623;268.391
624;279.821
625;269.004
626;281.401
627;284.561
628;282.717
629;271.878
630;285.588
631;282.653
632;273.884
633;287.415
634;288.877
635;289.064
636;287.668
637;274.822
638;288.865
639;289.374
640;289.09
641;276.496
642;290.745
643;278.168
644;291.474
645;279.176
646;292.511
647;292.076
648;292.56
649;293.801
650;294.021
651;294.117
652;292.495
653;279.817
654;281.507
655;295.021
656;295.243
657;295.072
658;282.588
659;284.025
660;297.299
661;284.704
662;299.501
663;300.169
